Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date,State
259,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1200,1800,1500,10-Jan-23,
260,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1200,2000,1600,20-Mar-25,
261,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1400,2000,1700,08-Apr-24,
262,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1400,2200,1800,07-Jun-24,
263,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1400,2600,2000,22-Sep-23,
264,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1400,2600,2000,26-Sep-23,
265,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1500,2000,1750,31-Dec-21,
266,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1500,2500,2000,06-Mar-24,
267,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1500,2500,2000,07-Feb-22,
268,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1500,2500,2000,08-Sep-23,
269,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1500,2500,2000,10-Mar-25,
270,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1500,2500,2000,18-Jun-24,
271,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1500,2500,2000,23-Aug-23,
272,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1500,3000,2250,07-Jan-21,
273,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1700,2600,2150,07-Feb-25,
274,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1700,3000,2350,16-Oct-23,
275,Jaipur,Jaipur (F&V),Onion,Other,FAQ,2000,3500,2750,03-Mar-21,
276,Jaipur,Jaipur (F&V),Onion,Other,FAQ,2000,3500,2750,12-Dec-23,
277,Jaipur,Jaipur (F&V),Onion,Other,FAQ,2500,3800,3150,06-Dec-23,
278,Jaipur,Jaipur (F&V),Onion,Other,FAQ,2500,3800,3150,29-Nov-24,
279,Jaipur,Jaipur (F&V),Onion,Other,FAQ,3500,4500,4000,08-Oct-24,
280,Jaipur,Jaipur (F&V),Onion,Other,FAQ,4000,5500,4750,01-Nov-23,
281,Jaipur,Jaipur (F&V),Onion,Other,FAQ,600,1180,890,19-May-23,
282,Jaipur,Jaipur (F&V),Onion,Other,FAQ,600,1400,1000,02-Jun-25,
283,Jaipur,Jaipur (F&V),Onion,Other,FAQ,800,1200,1000,10-Jul-20,
284,Jaipur,Jaipur (F&V),Onion,Other,FAQ,800,1800,1300,07-Apr-25,
285,Jaipur,Jaipur (F&V),Onion,Other,FAQ,800,2100,1450,30-Jun-25,
